"congress","chamber","screen_name","bioguide_id","member","account_type","handle_type"
"115","House","REPERIKPAULSEN","P000594","Erik Paulsen","office","prev_names"
"115","House","REPSMUCKER","S001199","Lloyd Smucker","office","screen_name"
"115","House","REPRICHARDNEAL","N000015","Richard Neal","office","screen_name"
"115","House","REPSAMGRAVES","G000546","Sam Graves","office","screen_name"
"115","House","TOMROONEY","R000583","Tom Rooney","office","screen_name"
"115","House","REPLOISFRANKEL","F000462","Lois Frankel","office","screen_name"
"115","House","REPBARRAGAN","B001300","Nanette Barragan","office","screen_name"
"115","House","REPHUFFMAN","H001068","Jared Huffman","office","screen_name"
"115","House","REPCHERI","B001286","Cheri Bustos","office","screen_name"
"115","House","REPPOLIQUIN","P000611","Bruce Poliquin","office","screen_name"
"115","House","GOPLEADER","M001165","Kevin McCarthy","office","screen_name"
"115","House","REPDLAMBORN","L000564","Doug Lamborn","office","screen_name"
"115","House","REPSANDYLEVIN","L000263","Sander Levin","office","screen_name"
"115","House","REPGARRETGRAVES","G000577","Garret Graves","office","screen_name"
"115","House","REPJIMBANKS","B001299","Jim Banks","office","screen_name"
"115","House","ROSADELAURO","D000216","Rosa DeLauro","office","screen_name"
"115","House","REPBONAMICI","B001278","Suzanne Bonamici","office","screen_name"
"115","House","REPLBR","B001303","Lisa Blunt Rochester","office","screen_name"
"115","House","REPDAVIDEPRICE","P000523","David Price","office","screen_name"
"115","House","REPLANCENJ7","L000567","Leonard Lance","office","screen_name"
"115","House","REPPETEKING","K000210","Peter T. King","office","screen_name"
"115","House","REPBILLFLORES","F000461","Bill Flores","office","screen_name"
"115","House","REPTENNEY","T000478","Claudia Tenney","office","screen_name"
"115","House","REPDINATITUS","T000468","Dina Titus","office","screen_name"
"115","House","REPMARKMEADOWS","M001187","Mark Meadows","office","prev_names"
"115","House","REPMGRIFFITH","G000568","Morgan Griffith","office","screen_name"
"115","House","BOBLATTA","L000566","Bob Latta","office","screen_name"
"115","House","REPHULTGREN","H001059","Randy Hultgren","office","screen_name"
"115","House","REPBARBARALEE","L000551","Barbara Lee","office","screen_name"
"115","House","REPANNAESHOO","E000215","Anna Eshoo","office","screen_name"
"115","House","REPRASKIN","R000606","Jamie Raskin","office","screen_name"
"115","House","REPSHIMKUS","S000364","John Shimkus","office","screen_name"
"115","House","USREPRICKNOLAN","N000127","Rick Nolan","office","screen_name"
"115","House","REPTOMMACARTHUR","M001193","Tom MacArthur","office","screen_name"
"115","House","REPADRIANSMITH","S001172","Adrian Smith","office","screen_name"
"115","House","SAMSPRESSSHOP","J000174","Sam Johnson","office","screen_name"
"115","House","DESJARLAISTN04","D000616","Scott DesJarlais","office","screen_name"
"115","House","REPDAVEJOYCE","J000295","David Joyce","office","screen_name"
"115","House","REPGENEGREEN","G000410","Gene Green","office","screen_name"
"115","House","REPCHRISSMITH","S000522","Chris Smith","office","screen_name"
"115","House","REPSTEFANIK","S001196","Elise Stefanik","office","screen_name"
"115","House","REPKIHUEN","K000390","Ruben Kihuen","office","screen_name"
"115","House","REPBRADWENSTRUP","W000815","Brad Wenstrup","office","screen_name"
"115","House","REPRATCLIFFE","R000601","John Ratcliffe","office","screen_name"
"115","House","REPLEEZELDIN","Z000017","Lee Zeldin","office","screen_name"
"115","House","REPBONNIE","W000822","Bonnie Watson Coleman","office","screen_name"
"115","House","REPJOECROWLEY","C001038","Joseph Crowley","office","screen_name"
"115","House","REPLUJANGRISHAM","L000580","Michelle Lujan Grisham","office","screen_name"
"115","House","BENNIEGTHOMPSON","T000193","Bennie Thompson","office","screen_name"
"115","House","PETERWELCH","W000800","Peter Welch","office","screen_name"
"115","House","REPCHRISCOLLINS","C001092","Chris Collins","office","screen_name"
"115","House","REPMIKETURNER","T000463","Mike Turner","office","screen_name"
"115","House","REPJOSESERRANO","S000248","Jose E. Serrano","office","screen_name"
"115","House","VIRGINIAFOXX","F000450","Virginia Foxx","office","screen_name"
"115","House","REPMULLIN","M001190","Markwayne Mullin","office","screen_name"
"115","House","REPTOMSUOZZI","S001201","Thomas Suozzi","office","screen_name"
"115","House","REPJEFFRIES","J000294","Hakeem Jeffries","office","screen_name"
"115","House","DAVIDROUZER","R000603","David Rouzer","campaign","screen_name"
"115","House","USREPRODNEY","F000372","Rodney Frelinghuysen","office","screen_name"
"115","House","REPMALONEY","M000087","Carolyn Maloney","office","screen_name"
"115","House","REPKEVINCRAMER","C001096","Kevin Cramer","office","prev_names"
"115","House","MARKAMODEINV2","A000369","Mark Amodei","office","screen_name"
"115","House","BOBBYSCOTT","S000185","Bobby Scott","office","screen_name"
"115","House","REPJOEBARTON","B000213","Joe Barton","office","screen_name"
"115","House","REPJENNIFFER","G000582","Jenniffer Gonzalez","office","screen_name"
"115","House","HURDONTHEHILL","H001073","Will Hurd","office","screen_name"
"115","House","JIM_JORDAN","J000289","Jim Jordan","office","screen_name"
"115","House","PATTIBERI","T000462","Pat Tiberi","office","screen_name"
"115","House","BILLPASCRELL","P000096","Bill Pascrell","office","screen_name"
"115","House","REPJIMCOOPER","C000754","Jim Cooper","office","screen_name"
"115","House","REPGREGWALDEN","W000791","Greg Walden","office","screen_name"
"115","House","MIKEKELLYPA","K000376","Mike Kelly","office","screen_name"
"115","House","REPLOBIONDO","L000554","Frank LoBiondo","office","screen_name"
"115","House","WARRENDAVIDSON","D000626","Warren Davidson","office","screen_name"
"115","House","REPCHARLIEDENT","D000604","Charlie Dent","office","screen_name"
"115","House","REPTOMMARINO","M001179","Tom Marino","office","screen_name"
"115","House","JIMLANGEVIN","L000559","Jim Langevin","office","screen_name"
"115","House","REPMARCIAFUDGE","F000455","Marcia Fudge","office","screen_name"
"115","House","JACKSONLEETX18","J000032","Sheila Jackson Lee","office","screen_name"
"115","House","REPALGREEN","G000553","Al Green","office","screen_name"
"115","House","REPTEDBUDD","B001305","Ted Budd","office","screen_name"
"115","House","REPDAVEBRAT","B001290","Dave Brat","office","screen_name"
"115","House","REPPETEOLSON","O000168","Pete Olson","office","screen_name"
"115","House","REPMARKWALKER","W000819","Mark Walker","office","screen_name"
"115","House","NITALOWEY","L000480","Nita Lowey","office","screen_name"
"115","House","REPANNIEKUSTER","K000382","Annie Kuster","office","screen_name"
"115","House","CONAWAYTX11","C001062","Mike Conaway","office","screen_name"
"115","House","DONALDNORCROSS","N000188","Donald Norcross","office","screen_name"
"115","House","REPANNWAGNER","W000812","Ann Wagner","office","screen_name"
"115","House","TOMCOLEOK04","C001053","Tom Cole","office","screen_name"
"115","House","REPJERRYNADLER","N000002","Jerrold Nadler","office","screen_name"
"115","House","REPDELBENE","D000617","Suzan DelBene","office","screen_name"
"115","House","REPKAYGRANGER","G000377","Kay Granger","office","screen_name"
"115","House","REPSIRES","S001165","Albio Sires","office","screen_name"
"115","House","PATRICKMCHENRY","M001156","Patrick McHenry","office","screen_name"
